,Unnamed: 0,url,title,spotify_id,release_year,artist_name,lyrics,verse_1
0,0,https://open.spotify.com/track/6KBwcS9yjfUa1RXtSXfER6,Schwarze Natascha,6KBwcS9yjfUa1RXtSXfER6,2015-03-13,Peter Wackel," Hey
 Hey
 Hey
 (Hey) In einer Kneipe bei Bier und Pfeife
 Da saßen wir beisamm'n (die ganze Nacht)
 Ein kühler Tropfen vom besten Hopfen
 Uns durch die Kehle rann (die ganze Nacht)
 Ja, wenn die Burschen singen und die Klampfen klingen
 Und die Mädels fall'n drauf rein (diese dummen Dinger)
 Was kann das Leben schöneres geben?
 Wir gehen heut nicht heim
 Sonnenuntergang die ganze Nacht
 Und es spielt die Balalaika (-laika)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Ja, ja, ja, schwarze Natascha nur du (hey)
 Süße Natascha nur du (hey)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein (hey)
 (Hey) Es ist sehr spät schon
 Der Wirt der schläft schon
 Das Bier wird langsam schal
 Bevor wir gehen und Abschied nehmen
 Da singen wir nochmal
 Ja, wenn die Burschen singen und die Klampfen klingen
 Und die Mädels fall'n drauf rein (diese dummen Dinger)
 Was kann das Leben schöneres geben?
 Wir gehen heut nicht heim
 Sonnenuntergang die ganze Nacht
 Und es spielt die Balalaika (-laika)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Ja, ja, ja, schwarze Natascha nur du (hey)
 Süße Natascha nur du (hey)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Ja, ja, ja, schwarze Natascha nur du (hey)
 Süße Natascha nur du (hey)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Ja, ja, ja, schwarze Natascha nur du (hey)
 Süße Natascha nur du (hey)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Ja, ja, ja, schwarze Natascha nur du (hey)
 Süße Natascha nur du (hey)
 Dir gehört mein Herz die ganze Nacht (hey)
 Schwarze Natascha nur du allein
 Hey
", Hey Hey Hey (Hey) In einer Kneipe bei Bier und Pfeife Da saßen wir beisamm'n (die ganze Nacht)
1,1,https://open.spotify.com/track/5euK1jyFJOV3Zy80Ihowun,Die Krüge hoch!,5euK1jyFJOV3Zy80Ihowun,2015-03-13,Buddy," Jetzt geht es los, los, los
 Die Krüge hoch, hoch, hoch
 Ich trinke erstmal einen Wein
 Dann lad ich meine Nachbarn ein
 Aus einer Stunde werden 
 Und ich bin immer noch dabei
 Wir bestellen uns ein Bier
 Und plötzlich sind es dann schon vier
 Wir sind jetzt alle schon pertout
 Komm' setz Dich bitte auch dazu-u-u
 Jetzt geht es los, los, los!
 Die Krüge hoch, hoch, hoch!
 Freunde prost, prost, prost auf euer Wohl, die Krüge hoch!
 Jetzt geht es los, los, los!
 Die Krüge hoch, hoch, hoch!
 Freunde prost, prost, prost auf euer Wohl, die Krüge hoch!
 Wir haben Spaß mit Alkohol, die Krüge hoch!
 Wir haben Spaß mit Alkohol, die Krüge hoch!
 Wir haben Spaß mit Alkohol!
 Wir werden stündlich immer mehr
 Da hilft auch keine Gegenwehr
 Jetzt machen wir noch ein Fass auf
 Und der Tag nimmt seinen Lauf
 Wir saufen alle Fässer aus
 Und stampfen mit den Füßen auf
 Wir trinken heut' auf unser Wohl
 Wir haben Spaß mit Alkoho-o-o-ol!
 Jetzt geht es los, los, los!
 Die Krüge hoch, hoch, hoch!
 Freunde prost, prost, prost auf euer Wohl, die Krüge hoch!
 Jetzt geht es los, los, los!
 Die Krüge hoch, hoch, hoch!
 Freunde prost, prost, prost auf euer Wohl, die Krüge hoch!
 Wir haben Spaß mit Alkohol, die Krüge hoch!
 Wir haben Spaß mit Alkohol, die Krüge hoch!
 Wir haben Spaß mit Alkohol!
 Lalalalalala
 Lalalalalala
 Lalalalalala
 Lalalalalala
 Jetzt geht es los, los, los!
 Die Krüge hoch, hoch, hoch!
 Freunde prost, prost, prost auf euer Wohl, die Krüge hoch!
 Jetzt geht es los!
"," Jetzt geht es los, los, los"
2,2,https://open.spotify.com/track/4puMtZzXGNWAT6SRoywSWm,Die schönste Frau der Welt,4puMtZzXGNWAT6SRoywSWm,2015-06-19,Markus Becker," Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Lass uns heute tanzen durch die ganze Nacht
 Weil du mich verzauberst, immer wenn du lachst
 Deine Augen funkeln wie ein Edelstein
 Und die roten Lippen sind wie süßer Wein
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Schon so viele Nächte träumte ich von dir
 Doch Träume werden Wirklichkeit und jetzt stehst du hier
  rote Rosen, hoch am Himmelszelt
 Ganz alleine nur für dich hab' ich sie bestellt
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Du bist die schönste, schönste, schönste Frau der Welt
 Einen Himmel voller Rosen habe ich für dich bestellt
 Einen Himmel voller Rosen habe ich für dich bestellt
"," Du bist die schönste, schönste, schönste Frau der Welt"
3,3,https://open.spotify.com/track/4G01BR6tZms9zI9IIoiEqi,Mallorca wir sind wieder da - Video Edit,4G01BR6tZms9zI9IIoiEqi,2014-06-13,Stefan Stürmer," Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Die Koffer sind gepackt der Flieger geht gleich los
 Wieder auf die Insel das wird rießen groß
 Ich freu mich seit Silvester auf diese feierei
 Mein Herz schlägt bis zum Hals
 Mallorca ich komm heim
 Sommer, Sonne, Palmen, wunderschöne Frau'n
 Der Strand, das Meer, das Bier, alles wie im Traum
 Wer hat lust auf Party?
 Hebt die Hände hoch
 Jetzt geht's los
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wir heben unsere Gläser, schenk noch eine ein
 Wir wolln nie wieder fort, ja so soll es sein
 Wir schauen zu den Sternen, was für eine Pracht
 Schenk mir einen Kuss, es ist die letzte Nacht
 Der Club ist schon am Feiern, der DJ spielt die Hits
 Die Leute sind am Tanzen, das krieg ich schon nicht mehr mit
 Wer hat lust auf Party?
 Hebt die Hände hoch
 Jetzt geht's los
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
 Wie jedes Jahr
 Malle wir sind wieder da
 Ole Ole Ola
 Malle du bist wunderbar
 Schalalala
", Wie jedes Jahr Malle wir sind wieder da Ole Ole Ola Malle du bist wunderbar Schalalala
4,4,https://open.spotify.com/track/3VWsSRR9qg9tw1a8SNGf0s,"Polka, Polka, Polka - Club Mix",3VWsSRR9qg9tw1a8SNGf0s,2015-02-27,Brings," Der Wind is kalt und rau
 Und mer wisse janz jenau
 Et letzte Fass is leer
 Un die Knoche die sin schwer
 Doch wenn mir zusamme singe
 Dann weet dat uch joot klinge
 Wat sull uns schon passiere
 Sulange mer et Lävve fiere
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
 Un is der Winter noch su lang
 Mer glövve fes do dran
 Mer han su viel durchjemaht
 Jetz mache mer uns grad
 Un steht die Welt in Flamme
 Mer ston all zusamme
 Janz ejal woher mer kumme
 Jetz han mer uns jefunge
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
 Polka, Polka, Polka
 Vom Rhing bis an die Wolga
 Polka, Polka, Polka
 Der Pitter un die Olga
 Kabänes un ne Vodka
 Polka, Polka, Polka
 Alles halv su schlimm
 Wenn mer zusamme sin
", Der Wind is kalt und rau
5,5,https://open.spotify.com/track/5WsBHZRPeXLmZTaIOZbB1e,Kölsche Jung - Party Edit,5WsBHZRPeXLmZTaIOZbB1e,2013-01-01,Brings," Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh
 Deutsch-Unterricht, dat wor nix för mich
 Denn ming Sproch, die jov et do nit
 ""Sprech ödentlich"" hät de Mamm jesaht
 Di Zeuchnis, dat weed keine Hit
 Ich sprech doch nur ming eijene Sproch
 Wuss nit, wat se vun mer will
 Ejal, wat ich saachen dät, et wor verkeht
 Denn ich ben nur ne Kölsche Jung
 Un mih Hätz, dat litt mer op d'r Zung
 Op d'r Stross han ich ming Sprooch jeliehrt
 Un jedes Wort wie tättowiert op minger Zung
 Ich ben ne Kölsche Jung
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Hück ben ich jlöcklich, dat ich et kann
 Uns Sprooch, die mäht uns doch us
 Mer hürt schon von Wiggem, wenn einer Kölsch schwaad
 Dann föhl ich mich direk zu Hus
 Wemmer se spreche, dann lääv se noch lang
 Dann jeht se och niemols kapott
 Uns Sprooch is e Jeschenk vom leeve Jott
 Denn ich ben nur ne Kölsche Jung
 Un mih Hätz, dat litt mer op d'r Zung
 Op d'r Stross han ich ming Sprooch jeliehrt
 Un jedes Wort wie tättowiert op minger Zung
 Ich ben ne Kölsche Jung
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh (ich ben ne Kölsche Jung)
 Oh oh oh yeoh
 Oh oh oh
 Denn ich ben nur ne Kölsche Jung
 Un mih Hätz, dat litt mer op d'r Zung
 Op d'r Stross han ich ming Sprooch jeliehrt
 Un jedes Wort wie tättowiert op minger Zung
 Ich ben ne Kölsche Jung
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
 Oh oh oh yeoh
", Oh oh oh yeoh Oh oh oh yeoh Oh oh oh yeoh Oh oh oh yeoh
6,6,https://open.spotify.com/track/4jUOYnaifqgXeenKBiR062,"Biste braun, kriegste Fraun",4jUOYnaifqgXeenKBiR062,2014-01-01,Mickie Krause," Ich hab Muskeln und 'nen durchtrainierten Bauch
 Schöne Haare und viel Kohle hab ich auch
 Ich hab 'ne Villa und 'nen Pool mit Blick aufs Meer
 Meine Autos zähle ich schon lang nicht mehr
 Ich reise jedes Jahr nur noch um die Welt
 Glaub an Gott und weiß, dass nur die Liebe zählt
 Ich bin belesen und hab viel Sinn für Kultur
 Doch die Mädels schalten bei mir nur auf stur
 Und ich frage mich, woran es wirklich liegt
 Dass 'ne Frau immer auf meine Kumpels fliegt
 Mein Onkel Jim aus Malle hat's kapiert
 Er sagte mir zum Glück, wie's funktioniert
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
 Ich war einsam wie ein altes Haus am See
 Hatte Asche, doch mein Herz war kalt wie Schnee
 Jetzt dreht sich alles doch um  Grad
 Ich hab jetzt mit der Sonne 'nen Vertrag
 Ich laufe leicht bekleidet an den Strand
 Und werd von allen Girls sofort erkannt
 Mit Sonnenöl sieht das noch besser aus
 Und jeden Abend hab ich volles Haus
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
 Ich laufe leicht bekleidet an den Strand
 Und werd von allen Girls sofort erkannt
 Mit Sonnenöl sieht das noch besser aus
 Und jeden Abend hab ich volles Haus
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
 Biste braun, kriegste Frau'n
", Ich hab Muskeln und 'nen durchtrainierten Bauch
7,7,https://open.spotify.com/track/5ryh7FtwZBm6cjPYFTwqLx,Wir sind wieder da - L'amour toujours Version,5ryh7FtwZBm6cjPYFTwqLx,2015-05-10,Andy Bar," Wir sind wieder da
 Wie jedes Jahr
 Hier ist Andy Bar
 Und ab geht's
 Was ist denn los? Heute wollen wir feiern (oh-oh)
 Vom Bremerland bis Hinterbayern (oh-oh)
 Wir geben Gas und wir ziehen durch die Nacht
 Bis morgen früh (wir machen einen drauf)
 Der DJ spielt dieses Lied noch einmal (oh-oh)
 So 'n geilen Typ gibt es nicht zweimal (oh-oh)
 Und wieder steigt hier die Stimmung
 Bis die ganze Bude brennt
 Wir wollen jetzt alle singen hören (oh-oh)
 So laut, dass wir die Nachbarn stören
 Eins, zwei, drei, vier
 Wir sind wieder da
 Wie jedes Jahr
 Ist alles klar? Uns scheißegal
 Denn wir sind wieder da
 Wie jedes Jahr
 Ist alles klar? Uns scheißegal
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö dö
 Dö dö dö dö dö
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö (Andy Bar, Andy Bar)
 Wir gehen heut nicht zu früh nach Hause (oh-oh)
 Wir machen jetzt die Megasause (oh-oh)
 Und wer nicht will, der hat leider heut die
 Party voll verpennt (was für ein dummer Trottel)
 Wir haben Spaß, heben unsere Hände (oh-oh)
 Denn heute wackeln hier die Wände (oh-oh)
 Wir wissen eins nur mit euch wird es so
 Schön sein wie noch nie
 Wir wollen jetzt alle singen hören (oh-oh)
 So laut, dass wir die Nachbarn stören
 Eins, zwei, drei, vier
 Wir sind wieder da
 Wie jedes Jahr
 Ist alles klar? Uns scheißegal
 Denn wir sind wieder da
 Wie jedes Jahr
 Ist alles klar? Uns scheißegal
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö dö
 Dö dö dö dö dö
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö
 Wir sind wieder da
 Wie jedes Jahr
 Ist alles klar? Uns scheißegal
 Denn wir sind wieder da
 Wie jedes Jahr
 Eins, zwei, drei, vier
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö dö
 Dö dö dö dö dö
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö dö
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö dö
 Dö dö dö dö dö
 Dö, dö dö dö dö
 Dö dö dö dö
 Dö dö dö dö
", Wir sind wieder da Wie jedes Jahr Hier ist Andy Bar Und ab geht's Was ist denn los? Heute wollen wir feiern (oh-oh)
8,8,https://open.spotify.com/track/1xBqk0cath1OTSDJDHzzzA,Oh Baby - Originaltitel: Heaven Is a Place On Earth,1xBqk0cath1OTSDJDHzzzA,2014-01-10,Mia Julia," Oh Baby, komm doch her zu mir
 Es ist mir egal wenn du dein Herz verlierst
 Heute mach ich einen Mann aus dir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
 Wie du vor mir stehst
 Eigentlich ganz süß, wie du überlegst
 Dir den Kopf zerbrichst
 Wie du mich heut Nacht noch in die Kiste kriegst
 Dann Baby, schaust du einfach in die Sterne
 Lässt aus dem Himmel eine Rose werden
 Du pflückst sie ab und schenkst sie mir
 Doch was ich wirklich will, das sag ich dir
 Oh Baby, komm doch her zu mir
 Es ist mir egal wenn du dein Herz verlierst
 Heute mach ich einen Mann aus Dir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
 Und jetzt stehst du da
 Mit der Rose im Arm und zuviel Gel im Haar
 Nur verstehst du nicht
 Dass ich nicht so bin, wie deine andren warn
 Verdammt, ich stehe einfach nicht auf Luschen
 Auf Männer, die mit warmem Wasser duschen
 Verdammt ich suche doch nur einen Mann
 Der mit seiner Zunge auch Karate kann
 Oh Baby, komm doch her zu mir
 Es ist mir egal wenn du dein Herz verlierst
 Heute mach ich einen Mann aus dir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
 Verdammt, ich stehe einfach nicht auf Luschen
 Auf Männer, die mit warmem Wasser duschen
 Verdammt ich suche doch nur einen Mann
 Der mit seiner Zunge auch Karate kann
 La la la la la la la la
 La la la la la la la la
 La la la la la la la la
 La la la la la la la
 Oh Baby komm doch her zu mir
 Es ist mir egal wenn du dein Herz verlierst
 Heute mach ich einen Mann aus dir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
 Dann bekommst du was du willst von mir
 Dann bekommst du alles was du willst von mir
"," Oh Baby, komm doch her zu mir"
9,9,https://open.spotify.com/track/0h1sVP9YeZJdTeNFoozhle,Mallorca (Da bin ich daheim),0h1sVP9YeZJdTeNFoozhle,2015-04-24,DJ Mico," Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Mallorca, da bin ich daheim
 Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Nachts geht hier die Party, am Tag sind wir am Meer
 Wir feiern ohne Ende, als ob's das Ende wär
 Wir denken nicht zurück, wir denken nicht nach vorn
 Eins, zwei Bier, drei, vier Korn
 Gebor'n um zu leben, um zu feiern und zu sein
 Wie wir sind, niemals nüchtern und wir feiern nie allein
 Wir sind super sexy und wir sind super geil
 Denn wir lieben dieses Leben im Mallorcastyle
 Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Wir dreh'n die Zeit auf Anfang, dann fangen wir erst an
 Auf die Stühle, auf die Tische, alles läuft, weil wir es könn'n
 Wir sind nicht aufzuhalten, ganz nach oben, super geil
 Denn wir lieben dieses Leben im Mallorcastyle
 Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Du bist der geilste Ort der Welt
 Bist unser Leben und alles was zählt
 Hier an der Playa sind wir nie allein
 Mallorca, da bin ich daheim
 Mallorca, da bin ich daheim
", Du bist der geilste Ort der Welt
